state,year,month,precip_in,temp_mean_f,temp_max_f,temp_min_f,wind_speed_ms,pressure_hpa
OK,2013,1,1.77,39.7,51.6,28,3.3466666666666667,980.2133064516128
OK,2013,2,3.24,41.1,53.1,29.1,3.6420089285714288,976.3059523809524
OK,2013,3,1.59,47.5,59.8,35.2,3.8922043010752687,977.2334677419354
OK,2013,4,3.81,54.7,67.1,42.3,4.2507222222222225,974.3579166666668
OK,2013,5,4.73,67,79.1,54.9,4.320806451612903,974.3166666666668
OK,2013,6,3.87,78.1,89.7,66.5,3.735625,974.3201388888888
OK,2013,7,5.28,79.6,91.2,68,2.950255376344086,976.7545698924732
OK,2013,8,3.34,80.3,91.6,68.9,2.719771505376344,976.9602150537636
OK,2013,9,2.58,75.8,89.1,62.5,2.9383472222222222,975.5068055555556
OK,2013,10,3.1,60.4,72.4,48.3,3.790927419354839,976.5127688172043
OK,2013,11,1.72,46.6,57.7,35.4,4.076833333333333,981.7786111111112
OK,2013,12,1.67,35.2,46.6,23.7,3.3611155913978497,980.044623655914
OK,2014,1,0.33,36,50.1,22,4.324569892473118,979.5692204301076
OK,2014,2,0.49,36.1,48,24.3,3.621607142857143,977.973511904762
OK,2014,3,1.74,46.3,60.4,32.3,4.278467741935484,976.7150537634408
OK,2014,4,1.69,59.4,73.3,45.5,4.481041666666667,972.9709722222224
OK,2014,5,3.14,68.9,82.1,55.8,4.253266129032258,974.0825268817204
OK,2014,6,5.71,77.3,87.5,67.1,4.134791666666667,972.82
OK,2014,7,4.57,77.8,89,66.7,3.0963709677419353,977.5375
OK,2014,8,1.55,80.7,93,68.4,2.9418682795698925,975.6013440860216
OK,2014,9,2.57,73.3,84.8,61.8,3.329763888888889,977.56375
OK,2014,10,3.44,64.6,78,51.2,3.5520295698924733,975.1176075268816
OK,2014,11,2.2,44.4,56.7,32.1,4.178791666666666,979.3488888888888
OK,2014,12,1.44,41.8,49.7,33.9,3.23622311827957,980.2072580645162
OK,2015,1,1.21,37.7,49.7,25.8,3.1615994623655914,983.491129032258
OK,2015,2,1.18,37.8,50.2,25.3,3.6264880952380953,981.0895833333332
OK,2015,3,2.41,51.1,63,39.1,3.0109139784946235,979.5477150537636
OK,2015,4,4.85,61.4,73.1,49.8,4.008194444444444,973.3688888888888
OK,2015,5,14.44,66.1,75.8,56.4,3.810806451612903,975.8849462365592
OK,2015,6,4.81,78.4,89.2,67.6,3.3566666666666665,974.975
OK,2015,7,5.43,82.1,92.9,71.3,3.314475806451613,974.454435483871
OK,2015,8,2.45,79.3,91.3,67.3,2.8333467741935485,975.7432795698924
OK,2015,9,2.07,76.6,88.9,64.4,3.2117916666666666,975.9404166666668
OK,2015,10,3.26,63.4,76.1,50.6,3.065766129032258,977.715188172043
OK,2015,11,6.05,51.4,62.7,40.1,4.043125,977.5433333333332
OK,2015,12,5.56,44.6,56.4,32.7,3.7998521505376344,974.2826612903226
OK,2016,1,0.5,38.2,49.5,26.9,3.4623655913978495,978.003494623656
OK,2016,2,1.02,47.4,61.4,33.4,4.1154166666666665,978.0495689655172
OK,2016,3,2.47,54.7,68.1,41.4,4.2068145161290325,973.6450268817204
OK,2016,4,6.05,61.4,73.9,48.8,3.737625,974.5154166666666
OK,2016,5,3.86,66.2,77.5,54.9,3.6308064516129033,975.0844086021506
OK,2016,6,3.26,79.2,90.8,67.7,2.9715833333333332,975.9205555555556
OK,2016,7,3.72,83.2,94.7,71.7,3.425241935483871,975.0693548387096
OK,2016,8,2.9,80.8,92.4,69.3,3.029206989247312,976.0344086021504
OK,2016,9,3.53,75.3,87.4,63.1,3.167125,977.59875
OK,2016,10,1.87,67.1,80.3,53.9,3.863077956989247,977.390994623656
OK,2016,11,1.25,55.4,68.2,42.7,3.66625,978.6283333333332
OK,2016,12,0.76,38.8,50.9,26.7,3.5498790322580644,980.4158602150536
OK,2017,1,2.59,40.9,53.1,28.6,3.962204301075269,976.5157258064517
OK,2017,2,2.05,50.5,64.2,36.7,4.361875,974.588244047619
OK,2017,3,2.6,56.2,69.3,43,4.747795698924731,977.6325268817204
OK,2017,4,6.62,61.4,72.9,49.8,4.548583333333333,972.3970833333332
OK,2017,5,4.49,66.9,79.9,53.8,4.25377688172043,972.546370967742
OK,2017,6,2.57,77.3,88.6,66,3.855777777777778,973.5893055555556
OK,2017,7,3.85,82.5,94.2,70.8,3.0026344086021504,976.749059139785
OK,2017,8,6.42,77.3,87.5,67.1,2.7691129032258064,976.3412634408602
OK,2017,9,2.57,73.3,85.5,61.1,3.4231805555555557,976.5251388888888
OK,2017,10,3.62,62,75.4,48.6,4.393185483870968,977.207123655914
OK,2017,11,0.26,52.9,65.3,40.4,3.8757916666666663,977.6231944444444
OK,2017,12,0.97,40.5,52,28.9,3.5749327956989245,981.2260752688172
OK,2018,1,0.53,36.6,50.3,23,4.445,983.4646505376344
OK,2018,2,4.09,41,53.3,28.6,4.1492410714285715,979.661755952381
OK,2018,3,2.1,53,66.5,39.4,4.301424731182796,975.8787634408602
OK,2018,4,2.18,54.2,68.5,39.8,4.703763888888889,976.32875
OK,2018,5,3.92,75.1,87.5,62.6,3.945793010752688,973.5620967741936
OK,2018,6,3.7,80.6,92.2,69,4.228972222222223,973.3454166666668
OK,2018,7,3.26,82.7,95.1,70.4,2.585994623655914,977.360752688172
