date,precip_index,temp_mean_index,temp_max_index,temp_min_index,wind_index,pressure_index,natural_gas,indpro,tcu,cfnai,houst,isratio,pce,t10y2y,consumer_sentiment,dlogng,detrended_ng,temp_max,temp_min,temp_mean,pressure,wind,precip,dlogindpro,disratio,dlogtcu,dlogpce,dloghous,dlogcs
2000-01-01,2.893761330455939,34.97894599934261,45.11044138038417,24.844124859368737,3.3993826370770286,979.0928527138796,1811.5,91.538,82.179,0.16,1636,1.38,6542.9,0.221,120.5057,NA,150.67587859424117,0.8968597169217074,0.13784729368574644,0.5165158303515125,0.8997785057852136,0.19791272771988813,0.11937472586015135,NA,NA,NA,NA,NA,NA
2000-02-01,2.7683551065768106,41.08240355589135,51.87352534488529,30.304139184517396,3.3237850422821813,979.0340835771733,1841.6,91.8239,82.1719,-0.23,1737,1.4,6625.3,-0.091,119.7525,0.0164795276324865,177.27280591469415,4.08632066751066,3.4943879775935036,3.7836199201908816,1.5704926611948116,0.049562929776271844,0.0948450466777575,0.0031184257109906355,0.020000000000000018,-8.640050044661507e-5,0.012515161604195413,0.05990524907841266,-0.0062699418166971554
2000-03-01,2.9165534702177225,48.52520199260677,60.24199527909662,36.791776885527845,3.316812156538338,976.2230110202212,1721,92.1504,82.2023,0.44,1604,1.38,6686.5,-0.2717391304347826,115.2336,-0.06772924175607908,53.169733235134515,3.7357722914350404,2.8584742725530328,3.300857046639906,-0.39347138981062657,-0.0737659788501949,-0.16038822870630176,0.00354941252967933,-0.020000000000000018,3.698877359896713e-4,0.009194914464805137,-0.0796589778146446,-0.03846574049782525
2000-04-01,3.124784902388124,53.6037289327379,65.74239660824203,41.46703051720612,3.455757773432398,975.6228791059356,1841.3,92.6989,82.4316,0.42,1626,1.39,6679.1,-0.4131578947368421,117.493,0.06756632666163487,169.96666055557705,-0.03730001806442526,0.002563716019690369,-0.02113518417343464,0.38606567922193025,-0.033726373178316726,-0.01668116186010685,0.005934581411047191,0.010000000000000009,0.0027855763396225086,-0.0011073203980558333,0.013622501681295418,0.019417384939495186
2000-05-01,3.142515822722394,64.76759373739442,76.89057486722709,52.61818000834491,3.380412276259569,974.5381043578179,1971.1,92.9499,82.3967,-0.35,1575,1.4,6709.7,-0.3690909090909091,119.107,0.06811991865970946,296.26358787601964,2.366562059712856,2.079388312245465,2.230406310423198,-0.6975883047129244,0.22141249279696865,-0.32155473421946057,0.0027040320534066353,0.010000000000000009,-4.23470975816187e-4,0.004570992662465301,-0.031867738848021965,0.01364349143200183
2000-06-01,4.232334044552309,70.83694617778816,82.36717068819584,59.27163655696448,3.0600738767193687,976.6292475363215,1881.4,92.9862,82.1729,0.13,1559,1.4,6746.9,-0.3845454545454545,114.4804,-0.04657558199503242,203.06051519646243,-0.1252086008450072,0.43139250533175877,0.16413310538312736,1.6374584923891706,0.18168743005255822,0.5958059333268053,3.9045672638238216e-4,0,-0.0027198235635523815,0.0055288995382216655,-0.010210682201956978,-0.0396186194713124
2000-07-01,3.1987259743980427,73.4768908563869,85.18334888930166,61.752541763737504,2.6001834686261187,976.2970429453808,1739.5,92.8048,81.7603,-0.29,1463,1.41,6768.5,-0.285,116.5247,-0.07841846494585436,57.65744251690496,-1.2201214488815189,-1.4183625470234729,-1.3186584154278047,0.012370696825667125,0.0489557515449153,-0.38610886584713355,-0.0019527324535886237,0.010000000000000009,-0.005033768281627715,0.0031963565103581004,-0.06355546803765222,0.01769963839848554
2000-08-01,2.796900419694428,73.83657129982838,85.57809393932621,62.051154658826576,2.6081413684360863,977.2038906142677,1851.3,92.5521,81.2857,-0.36,1541,1.42,6802.8,-0.4026086956521739,115.4488,0.062290379403133755,165.95436983734763,0.3930279801720723,0.08597540268910898,0.25729749880603414,0.8103851728839042,0.11529709750265792,-0.6136252351855326,-0.00272663339275514,0.010000000000000009,-0.005821686400514281,0.005054795492418052,0.051942434299991014,-0.00927612606419359
2000-09-01,3.319358867136982,66.79812745343457,78.9026292442137,54.69311330258705,2.901071163486131,976.3034154378867,1859.4,92.9792,81.4061,0.36,1507,1.4,6888.6,-0.28250000000000003,114.9108,0.004365760026626475,170.55129715779034,-0.4372861089138592,-1.0557048828573077,-0.750152191148553,-0.498902074946295,0.22341680779798564,0.15216403198105707,0.004604083024880801,-0.020000000000000018,0.0014800994516006583,0.012533579209563328,-0.022310636693619657,-0.00467096642093523
2000-10-01,2.011799334171838,57.26060395051309,69.18464808431435,45.32648315225003,2.9024237077348003,979.4247236781572,1874.1,92.6179,80.8334,-0.52,1549,1.42,6893.8,-0.1738095238095238,113.8348,0.007874689145876523,181.7482244782328,0.8419011510064117,0.031296562993536683,0.43713825864078704,2.6501997104218535,-0.10226329748841648,-1.0073092993013464,-0.003893384717707171,0.020000000000000018,-0.0070599623243223775,7.545855941977209e-4,0.027488641790372803,-0.009407900621991594
